"LABEL_ABANDON_MATCH","ABANDON MATCH","放弃比赛","BRECHE SPIEL AB","ABANDONAR PARTIDA","ABANDONNER LE MATCH","対戦を放棄","PORZUĆ MECZ","НЕДОСТУПНЫЙ МАТЧ"
"LABEL_WINTER","WINTER","冬季","WINTER","INVIERNO","HIVER","冬","ZIMA","ЗИМА"
"LABEL_WORKSHOP","WORKSHOP","工坊","WORKSHOP","TALLER","ÉDITEUR","ワークショップ","EDYTOR","РЕДАКТОР"
"LABEL_WORKSHOP_AIRPORT","AIRPORT","机场","FLUGHAFEN","AEROPUERTO","AÉROPORT","空港","LOTNISKO","АЭРОПОРТ"
"LABEL_WORKSHOP_BARRACKS","BARRACKS","兵营","KASERNEN","BARRACON","CASERNE","兵舎","KOSZARY","КАЗАРМА"
"LABEL_WORKSHOP_BRIDGE","BRIDGE","桥梁","BRÜCKE","PUENTE","PONT","橋","MOST","МОСТ"
"LABEL_WORKSHOP_BUILDINGS","BUILDINGS","建筑物","GEBÄUDE","EDIFICIOS","BÂTIMENTS","建物","BUDYNKI","ЗДАНИЯ"
"LABEL_WORKSHOP_BUILD_TERRAIN","BUILD TERRAIN","建造地形","BAUE GELÄNDE","CONSTRUIR TERRENO","TERRAIN","地形を構築","BUDUJ TEREN","ПОСТАВИТЬ"
"LABEL_WORKSHOP_CITY","CITY","城市","STADT","CIUDAD","VILLE","都市","MIASTO","ГОРОД"
"LABEL_WORKSHOP_CIVILIAN","CIVILIAN","平民","ZIVILIST","CIVIL","CIVIL","民間人","CYWIL","ГРАЖДАНСКИЕ"
"LABEL_WORKSHOP_CLEAR_LAYERS","CELAR LAYERS","清除图层","EBENEN LEEREN","LIMPIAR CAPAS","TOUT SUPPRIMER :","レイヤーをクリア","WYCZYŚĆ WARSTWY","СНЯТЬ СЛОИ"
"LABEL_WORKSHOP_CLEAR_MAP","CLEAR EVERYTHING IN MAP","清除地图上所有东西","CLEAR EVRYTHING IN MAP","BORRAR TODO EN EL MAPA","EFFACER LA CARTE","マップをすべてクリア","WYCZYŚĆ WSZYSTKO NA MAPIE","ОЧИСТИТЬ ВСЕ"
"LABEL_WORKSHOP_CONCRETE","CONCRETE","混凝土","BETON","HORMIGÓN","BÉTON","コンクリート","BETON","БЕТОН"
"LABEL_WORKSHOP_CREATE","CREATE","创建","ERSTELLEN","CREAR","CRÉER","作成","STWÓRZ","СДЕЛАНО"
"LABEL_WORKSHOP_DIRT","DIRT","泥土","ERDE","SUCIEDAD","BOUE","ダート","PIASEK","ГРЯЗЬ"
"LABEL_WORKSHOP_EREASE","EREASE","清除","LÖSCHEN","BORRAR","EFFACER","消去","USUŃ","СТЕРЕТЬ"
"LABEL_WORKSHOP_FACTORY","FACTORY","工厂","FABRIK","FÁBRICA","USINE","工場","FABRYKA","ЗАВОД"
"LABEL_WORKSHOP_FAILURE","OPERATION FAILURE","操作失败","AKTION FEHLGESCHLAGEN","OPERACIÓN FALLIDA","ÉCHEC DE L'OPÉRATION","操作に失敗しました","BŁĄD OPERACJI","ОШИБКА"
"LABEL_WORKSHOP_FENCE","FENCE","栅栏","ZAUN","CERCA","CLÔTURE","フェンス","PŁOT","ЗАБОР"
"LABEL_WORKSHOP_FILES_MANAGER","FILES MANAGER","文件管理器","DATEI MANAGER","GESTOR ARCHI.","FICHIERS","ファイル管理","PLIKI","ПРОВОДНИК"
"LABEL_WORKSHOP_FILE_SAVED","FILE SAVED","文件已保存","DATEI GESPEICHERT","ARCHIVO GUARDADO","FICH. SAUV.","ファイルを保存しました","PLIK ZAPISANY","СОХРАНЕНО"
"LABEL_WORKSHOP_FOREST","FOREST","森林","WALD","BOSQUE","FÔRET","森","LAS","ЛЕС"
"LABEL_WORKSHOP_GSM_TOWER","GSM TOWER","通信塔","GSM TOWER","T. GSM","TOUR GSM","GSM タワー","WIEŻA","РАДИОВЫШКА"
"LABEL_WORKSHOP_HELI","HELI","直升机","HELI","HELI","HÉLICO","ヘリ","ŚMIGŁOWIEC","ВЕРТОЛЕТ"
"LABEL_WORKSHOP_HQ","HQ","总部","HQ","CG","QG","司令部","CENTRALA","ШК"
"LABEL_WORKSHOP_INFANTRY","INFANTRY","步兵","INFANTERIE","SOLDADO","INFANTR.","歩兵","PIECHOTA","ПЕХОТА"
"LABEL_WORKSHOP_LOAD","LOAD","加载","LADEN","CARGAR","CHARGER","ロード","WCZYTAJ","ЗАГРУЗИТЬ"
"LABEL_WORKSHOP_MOUNTAIN","MOUNTAIN","山脉","BERG","MONTAÑA","MONTAGNE","山","GÓRY","ГОРЫ"
"LABEL_WORKSHOP_MOVE_MAP","MOVE MAP","移动地图","BEWEGE KARTE","MOVER MAPA","BOUGER CARTE","マップを移動","PRZESUŃ MAPĘ","ДВИГАТЬ КАРТУ"
"LABEL_WORKSHOP_PICK_MAP","PICK MAP","选择地图","WÄHLE KARTE","ELEGIR MAPA","CHOISIR CARTE","マップを選択","WYBIERZ MAPĘ","КАРТА:"
"LABEL_WORKSHOP_PLAIN","PLAIN","平原","EBENE","LLANURA","PLAINE","平地","TRAWA","ТРАВА"
"LABEL_WORKSHOP_RIVER","RIVER","河流","FLUSS","RÍO","RIVIÈRE","川","RZEKA","РЕКА"
"LABEL_WORKSHOP_ROAD#1","ROAD#1","道路#1","STRASSE#1","CAMINO#1","ROUTE#1","道路#1","ULICA#1","ДОРОГА#1"
"LABEL_WORKSHOP_ROAD#2","ROAD#2","道路#2","STRASSE#2","CAMINO#2","ROUTE#2","道路#2","ULICA#2","ДОРОГА#2"
"LABEL_WORKSHOP_RUBBLE","RUBBLE","瓦砾堆","RUBBLE","ESCOMBROS","RUINES","瓦礫","RUINY","СГОРЕВШЕЕ"
"LABEL_WORKSHOP_SAVE","SAVE","保存","SPEICHERN","GUARDAR","SAUVEGARDER","セーブ","ZAPISZ","СОХРАНИТЬ"
"LABEL_WORKSHOP_SELECTED_TOOL","SELECTED TOOL","选择工具","ANGEWÄHLTES WERKZEUG","HERRAMIENTA SELECCIONADA","OUTIL ACTIVÉ","選択したツール","KAFELEK","ВЫБРАНО:"
"LABEL_WORKSHOP_SIZE","SIZE","大小","GRÖSSE","TAMAÑO","TAILLE","サイズ","WIELKOŚĆ","РАЗМЕР"
"LABEL_WORKSHOP_SPAWN","SPAWN","出兵口","STARTPUNKT","P. SALIDA","DÉPART","スポーン","WYJSCIE","СПАУН"
"LABEL_WORKSHOP_STATUE","STATUE","雕像","STATUE","ESTATUA","STATUE","像","POSĄG","СТАТУЯ"
"LABEL_WORKSHOP_TANK","TANK","坦克","PANZER","TANQUE","TANK","戦車","CZOŁG","ТАНК"
"LABEL_WORKSHOP_TERRAIN","TERRAIN","地形","GELÄNDE","TERRENO","TERRAIN","地形","TEREN","ДЕКОР"
"LABEL_WORKSHOP_THEME","MAP THEME","地图主题","Kartenthema","TEMA DEL MAPA","THÈME DE LA CARTE","マップのテーマ","ZESTAW KAFELKÓW","ТЕМА КАРТЫ"
"LABEL_WORKSHOP_TILES","TILES","格子","TILES","AZULEJOS","TUILES","タイル","KAFELKI","ТАЙЛЫ"
"LABEL_WORKSHOP_TOOLBOX","TOOLBOX","工具箱","WERKZEUGBOX","OPCIONES","OPTIONS","ツールボックス","NARZĘDZIA","ИНСТРУМЕНТЫ"
"LABEL_WORKSHOP_TOWER","TOWER","塔","TOWER","TORRE","TOUR","タワー","WIEŻA","РАДИОВЫШКА"
"LABEL_WORKSHOP_UNDO_BUILD","UNDO BUILD","撤销建造","RÜCKGÄNGIG","DESHACER","ANNULER","構築を元に戻す","COFNIJ RUCH","ОТКАТ"
"LABEL_WORKSHOP_UNITS","UNITS","单位","EINHEITEN","UNIDADES","UNITÉS","部隊","JEDNOSTKI","ЮНИТЫ"
"LABEL_YOUR_TURN","YOUR TURN","你的回合","DEIN ZUG","TU TURNO","VOTRE TOUR","あなたの順番","TWOJA TURA","ТВОЙ ХОД"
"LABEL_YOU_LOSE","YOU LOST","你输了","DU HAST VERLOREN","PERDISTE","VOUS PERDEZ","あなたの負け","PRZEGRAŁEŚ","ТЫ ПРОИГРАЛ"
"LABEL_YOU_WIN","YOU WON","你赢了","DU HAST GEWONNEN","GANASTE","VOUS GAGNEZ","あなたの勝ち","WYGRAŁEŚ","ТЫ ПОБЕДИЛ"
"LABEL_ZOOM_LEVEL","ZOOM LEVEL","缩放级别","ZOOM LEVEL","NIVEL ZOOM","ZOOM","ズームレベル","POZIOM PRZYBLIŻENIA","ПРИБЛИЖЕННОСТЬ"
"MAG_ABANDON_MATCH","ARE YOU SURE YOU WANT TO ABANDON THIS MATCH? YOU WILL NOT BE ABLE TO CONTINUE THIS GAME.","ARE YOU SURE YOU WANT TO ABANDON THIS MATCH? YOU WILL NOT BE ABLE TO CONTINUE THIS GAME.","BIST DU SICHER DASS DU DIESES SPIEL ABBRECHEN WILLST? DU KANNST DIESES SPIEL NICHT FORTFÜHREN.","¿ESTÁS SEGURO DE QUE QUIERES ABANDONAR? NO PODRÁS CONTINUAR LA PARTIDA.","ÊTES-VOUS SÛR DE VOULOIR ABANDONNER LE MATCH ? VOUS NE POURREZ PAS REPRENDRE LE MATCH.","この対戦を放棄してもよろしいですか? このゲームを続行できません。","CZY NA PEWNO CHCESZ PORZUCIĆ TEN MECZ? NIE BĘDZIESZ W STANIE KONTYNUOWAĆ TEJ GRY.","УВЕРЕНЫ, ЧТО ХОТИТЕ ВЫЙТИ? ИГРА БУДЕТ УДАЛЕНА"
"MAG_AVAILABLE_SIDE","AVAILABLE SIDE: ","AVAILABLE SIDE: ","VERFÜGBARE SEITE: ","FACCIÓN DISPONIBLE: ","CAMP REJOIGNABLE : ","参加可能なサイド: ","DOSTĘPNA STRONA: ","СВОБОДНАЯ СТОРОНА: "
"MAG_PROCEED_JOIN","JOIN THIS MATCH?","JOIN THIS MATCH?","DIESEM SPIEL BEITRETEN?","¿UNIRSE A ESTA PARTIDA?","REJOINDRE CE MATCH ?","この対戦に参加しますか?","DOŁĄCZYĆ DO TEGO MECZU?","ПРИСОЕДИНИТЬСЯ?"
"MSG_ALREADY_IN_MATCH","YOU ARE ALREADY IN THAT MATCH","YOU ARE ALREADY IN THAT MATCH","DU BIST BEREITS IN DEM SPIEL","YA ESTÁS EN ESA PARTIDA","VOUS ÊTES DÉJÀ DANS CE MATCH","すでに対戦に参加しています","JESTEŚ JUŻ W TYM MECZU","ВЫ УЖЕ ИГРАЕТЕ В ЭТОМ МАТЧЕ"
"MSG_ASK_UPLOAD","BEGIN MAP UPLOAD?","BEGIN MAP UPLOAD?","BEGIN MAP UPLOAD?","¿COMENZAR LA CARGA DEL MAPA?","DÉBUTER TÉLÉVERSEMENT CARTE ?","マップのアップロードを開始しますか?","ROZPOCZĄĆ WYSYŁANIE MAPY?","НАЧАТЬ ЭКСПОРТ КАРТЫ?"
"MSG_CHECKING_STATE","CHECKING FOR NEW MOVES...","CHECKING FOR NEW MOVES...","PRÜFE NEUE ZÜGE...","COMPROBANDO NUEVOS MOVIMIENTOS...","VÉRIFIER POUR DE NOUV. MOUVEMENTS...","新しい移動を確認しています...","SPRAWDZANIE...","ПРОВЕРКА НОВЫХ ХОДОВ..."
"MSG_CLEARING_SLOT_WAIT","CLEARING GAME SLOT. PLEASE WAIT...","CLEARING GAME SLOT. PLEASE WAIT...","LÖSCHE SPIEL EINRAG. BITTE WARTEN...","LIMPIANDO LA RANURA DEL JUEGO. POR FAVOR ESPERA...","LIBÉRATION DES EMPLACEMENTS, PATIENTEZ SVP...","ゲームスロットをクリアしています。 しばらくお待ちください...","CZYSZCZENIE SLOTU GRY. PROSZĘ CZEKAĆ...","СТИРАНЕ, ПОДОЖДИТЕ..."
"MSG_CONFIRM_CREATE","DO YOU WANT TO HOST A NEW MATCH?","DO YOU WANT TO HOST A NEW MATCH?","MÖCHTEST DU EIN NEUES SPIEL HOSTEN?","¿QUIERES ALOJAR UNA NUEVA PARTIDA?","VOULEZ-VOUS HÉBERGER UN NOUVEAU MATCH ?","新しい対戦を開催しますか?","UTWORZYĆ NOWY MECZ?","ХОЧЕШЬ СОЗДАТЬ НОВЫЙ МАТЧ?"
"MSG_CREATING_MATCH_WAIT","CREATING NEW MATCH. PLEASE WAIT...","CREATING NEW MATCH. PLEASE WAIT...","ERSTELLE NEUES SPIEL. BITTE WARTEN...","CREANDO UNA NUEVA PARTIDA. POR FAVOR ESPERA...","CRÉATION D'UN NOUVEAU MATCH. PATIENTEZ SVP...","新しい対戦を作成しています。 しばらくお待ちください...","TWORZENIE NOWEGO MECZU. PROSZĘ CZEKAĆ...","СОЗДАНИЕ МАТЧА, ПОДОЖДИТЕ..."
"MSG_EMPTY_DISPLAY","&lt; NOTHING TO DISPLAY&#000a;&lt; SELECT UNIT OR BUILDING","&lt; NOTHING TO DISPLAY&#000a;&lt; SELECT UNIT OR BUILDING","&lt;NICHTS ANZUZEIGEN&#000a;&lt; EINHEIT ODER GEBÄUDE ANWÄHLEN","&lt; NADA QUE MOSTRAR&#000a;&lt; SELECCIONA UNA UNIDAD O EDIFICIO","&lt; RIEN À AFFICHER&#000a;&lt; SÉLECTIONNEZ UNE UNITÉ OU UN BÂTIMENT","&lt; 表示するものがありません&#000a;&lt; 部隊または建物を選択してください","NIC DO WYŚWIETLENIA - ZAZNACZ JEDNOSTKĘ LUB BUDYNEK","&lt; NOTHING TO DISPLAY&#000a;&lt; ВЫБЕРИ ЮНИТ ИЛИ ЗДАНИЕ"
"MSG_FETCHING_MATCH_DETAILS","FETCHING MATCH DETAILS. PLEASE WAIT...","FETCHING MATCH DETAILS. PLEASE WAIT...","HOLE SPIEL DETAILS. BITTE WARTEN...","OBTENIENDO DETALLES DE LA PARTIDA. POR FAVOR ESPERA...","COLLECTE DES DÉTAILS DU MATCH, PATIENTEZ SVP...","対戦の詳細を取得しています。 しばらくお待ちください...","POBIERANIE INFORMACJI O MECZU. PROSZĘ CZEKAĆ...","ЗАГРУЗКА ПАРАМЕТРОВ МАТЧА, ПОДОЖДИТЕ..."
"MSG_FREE_AS_FREEDOM","* FREE AS FREEDOM, NOT FREE AS IN FREE BEER","*free，是自由（freedom）的自由（free），而不是免费啤酒（free beer）的免费（free）","* FREI WIE FREIHEIT, NICHT FREI WIE FREIBIER","* FREE AS FREEDOM, NOT FREE AS IN FREE BEER","LIBRE ET OPEN SOURCE","* アルコールフリービールのフリーではなく、自由としてのフリー","* WOLNA JAK WOLNOŚĆ, NIE JAK ŻÓŁW","* СВОБОДНОГО ТО ЕСТЬ ДОСТУПНОГО, НЕ СВОБОДНАЯ КАК В ТРАКТИРЕ"
"MSG_GAME_DESCRIPTION_1","FREE* & OPEN-SOURCE","自由*&开源","FREE* & OPEN-SOURCE","FREE* & OPEN-SOURCE","JEU DE STRATÉGIE","フリー* & オープンソース","WOLNA*, OTWARTA","СВОБОДНОГО* ДОСТУПА"
"MSG_GAME_DESCRIPTION_2","TURN-BASED STRATEGY GAME","回合制战略游戏","RUNDENBASIERTES STRATEGIESPIEL","TURN-BASED STRATEGY GAME","AU TOUR PAR TOUR","順番制の戦略ゲーム","TUROWA STRATEGIA","ПОХОДОВАЯ СТРАТЕГИЯ"
"MSG_INDIE_GAME","INDIE GAME&#000a;DESIGN &amp; &#000a;DEVELOP","INDIE GAME&#000a;DESIGN &amp; &#000a;DEVELOP","INDIE GAME&#000a;DESIGN &amp; &#000a;ENTWICKELN","INDIE GAME&#000a;DISEÑO &amp; &#000a;DESARROLLO","INDIE GAME&#000a;DESIGN &amp; &#000a;DEVELOP","インディーゲーム&#000a;デザイン &amp; &#000a;開発","GRA NIEZALEŻNA","INDIE GAME&#000a;DESIGN &amp; &#000a;ВЕРСИЯ"
"MSG_INPUT_MATCH_CODE","INPUT MATCH JOIN CODE","INPUT MATCH JOIN CODE","GIB DEN SPIEL BEITRITTS-CODE EIN","CÓDIGO PARA UNIRSE A LA PARTIDA","ENTRER LE CODE D'ACCÈS AU MATCH","対戦参加コードを入力","WPISZ KOD MECZU","НАПИШИТЕ КОД МАТЧА"
"MSG_JOINING_MATCH_WAIT","JOINING A MATCH. PLEASE WAIT...","JOINING A MATCH. PLEASE WAIT...","TRETE EINEM SPIEL BEI. BITTE WARTEN...","UNIÉNDOSE A UNA PARTIDA. POR FAVOR ESPERA...","VOUS REJOIGNEZ UN MATCH, PATIENTEZ SVP...","対戦に参加しています。 しばらくお待ちください...","DOŁĄCZANIE DO MECZU. PROSZĘ CZEKAĆ...","ПРИСОЕДИНЕНИЕ, ПОДОЖДИТЕ..."
"MSG_LOADING_MATCH_WAIT","LOADING MATCH DATA. PLEASE WAIT...","LOADING MATCH DATA. PLEASE WAIT...","LADE SPIEL DATEN. BITTE WARTEN...","CARGANDO DATOS PARTIDA. POR FAVOR ESPERE...","CHARGEMENT DU MATCH, PATIENTEZ SVP...","対戦データをロードしています。 しばらくお待ちください...","POBIERANIE DANYCH MECZU. PROSZĘ CZEKAĆ...","ЗАГРУЗКА МАТЧА, ПОДОЖДИТЕ..."
"MSG_MULTIPLAYER_LOBBY_HEADLINE","ONLINE MULTIPLAYER LOBBY","ONLINE MULTIPLAYER LOBBY","ONLINE MULTIPLAYER LOBBY","MODO MULTIJUGADOR","MODE MULTIJOUEUR","オンライン マルチプレイヤー ロビー","TRYB WIELOOSOBOWY","ОНЛАЙН ЛОББИ"
"MSG_MULTIPLAYER_LOBBY_SUB","you may have up to four simultaneous games","you may have up to four simultaneous games","you may have up to four simultaneous games","puedes tener hasta cuatro juegos simultáneos","Vous pouvez avoir jusqu'à quatre jeux en cours simultanément","あなたは最大4つまで同時にゲームをすることができます","MOŻESZ PROWADZIĆ DO CZTERECH GIER RÓWNOLEGLE","Ты можешь иметь до четырех матчей"
"MSG_MULTIPLAYER_WELCOME","Welcome to ToF multiplayer!","Welcome to ToF multiplayer!","Welcome to ToF multiplayer!","¡Bienvenido al modo multijugador de ToF!","Bienvenu sur ToF multijoueur !","ToF マルチプレイヤーへようこそ!","Witamy w trybie wieloosobowym!","ДОБРО ПОЖАЛОВАТЬ В ToF multiplayer!"
"MSG_NO_ENOUGH_AP","NOT ENOUGH AP","NOT ENOUGH AP","NICHT GENUG AP","NO HAY SUFICIENTE PA","PA INSUFFISANT","AP が足りません","BRAK PUNKTOW AKCJI","НЕДОСТАТОЧНО АР"
"MSG_ONLINE_MENU_DESC","DOWNLOAD NEW MAPS OR SHARE YOUR OWN CREATIONS WITH THE WORLD!","DOWNLOAD NEW MAPS OR SHARE YOUR OWN CREATIONS WITH THE WORLD!","LADE NEUE KARTEN HERUNTER ODER TEILE DEINE KARTEN MIT ANDEREN!","¡DESCARGA NUEVOS MAPAS O COMPARTE TUS PROPIAS CREACIONES CON EL MUNDO!","TÉLÉCHARGEZ DE NOUVELLES CARTES OU PARTAGEZ VOS CRÉATIONS AVEC LE MONDE !","新しい地図をダウンロードするか、あなた独自の作成物を世界と共有しましょう!","POBIERAJ NOWE MAPY I DZIEL SIĘ SWOIMI DZIEŁAMI ZE ŚWIATEM!","ЗАГРУЖАЙ НОВЫЕ КАРТЫ ИЛИ ДЕЛИСЬ СВОИМИ СО ВСЕМ МИРОМ!"
"MSG_OPERATION_FAILED","NETWORK OPERATION FAILED. PLEASE CHECK YOUR INTERNET CONNECTION AND TRY AGAIN.","NETWORK OPERATION FAILED. PLEASE CHECK YOUR INTERNET CONNECTION AND TRY AGAIN.","NETZWERK OPERATION FEHLGESCHLAGEN. BITTE PRÜFE DEINE INTERNET VERBINDUNG UND VERSUCHE ES NOCH EINMAL.","OPERACIÓN DE RED FALLIDA. POR FAVOR COMPRUEBA TU CONEXIÓN A INTERNET Y PRUEBA DE NUEVO.","LA CONNEXION A ÉCHOUÉ. VÉRIFEZ VOTRE CONNEXION INTERNET ET RÉESSAYEZ SVP.","ネットワーク操作に失敗しました。 インターネット接続を確認して、もう一度やり直してください。","OPERACJA SIECIOWA NIE POWIODŁA SIĘ. PROSZĘ SPRAWDZIĆ POŁĄCZENIE Z INTERNETEM I SPRÓBOWAĆ PONOWNIE.","ОШИБКА ПОДКЛЮЧЕНИЯ К ИНТЕРНЕТУ. ПОДКЛЮЧИТЕСЬ И ПОПРОБУЙТЕ СНОВА"
"MSG_OPPONENT_WAIT","WAITING FOR OPPONENT...","WAITING FOR OPPONENT...","WARTE AUF GEGNER...","ESPERANDO OPONENTE...","EN ATTENTE D'UN ADVERSAIRE...","相手を待っています...","OCZEKIWANIE NA PRZECIWNIKA...","ОЖИДАНИЕ СОПЕРНИКА..."
"MSG_PICK_SIDE","PICK THE SIDE YOU WANT TO PLAY AS","PICK THE SIDE YOU WANT TO PLAY AS","WÄHLE DIE SEITE DIE DU SPIELEN MÖCHTEST","ELIJE LA FACCIÓN QUE QUIERES JUGAR","CHOISISSEZ LE CAMP POUR LEQUEL VOUS VOULEZ JOUER","プレイしたいサイドを選択してください","WYBIERZ STRONĘ, KTÓRĄ CHCESZ GRAĆ","ВЫБЕРИ СТРОНУ ЗА КОТОРОУЮ ХОЧЕШЬ ИГРАТЬ"
"MSG_READY_TO_CREATE","CREATE MATCH?","CREATE MATCH?","SPIEL ERSTELLEN?","¿CREAR PARTIDA?","CRÉER LE MATCH ?","対戦を作成しますか?","UTWORZYĆ MECZ?","СОЗДАТЬ МАТЧ?"
"MSG_SELECTED_MAP","SELECTED MAP: ","SELECTED MAP: ","GEWÄHLTE KARTE: ","MAPA SELECCIONADO: ","CARTE CHOISIE : ","選択したマップ: ","WYBRANA MAPA: ","КАРТА: "
"MSG_SELECTED_SIDE","SELECTED SIDE: ","SELECTED SIDE: ","GEWÄHLTE SEITE: ","FACCIÓN SELECCIONADA: ","CAMP CHOISI : ","選択したサイド: ","WYBRANA STRONA: ","СТОРОНА: "
"MSG_SHOW_REPLAY","DO YOU WANT TO SEE THE REPLAY OF OPPONENTS TURN?","DO YOU WANT TO SEE THE REPLAY OF OPPONENTS TURN?","MÖCHTEST DU DIE WIEDERHOLUNG DES GEGNERISCHEN ZUGES SEHEN?","¿QUIERES VER LA REPETICIÓN DEL TURNO DE LOS OPONENTES?","VOULEZ-VOUS VOIR LE REPLAY DES TOURS DE L'ADVERSAIRE ?","相手のリプレイを見ますか?","CZY CHCESZ ZOBACZYĆ POWTÓRKĘ TURY PRZECIWNIKA?","ХОТИТЕ УВИДЕТЬ ПОВТОР ХОДА СОПЕРНИКА?"
"MSG_SPAWN_BLOCKED","SPAWN BLOCKED","SPAWN BLOCKED","SPAWN BLOCKED","PUNTO DE SALIDA BLOQUEADO","DÉPLOIEMENT BLOQUÉ","スポーンがブロックされました","WYJŚCIE ZABLOKOWANE","СПАВН ЗАБЛОКИРОВАН"
"MSG_START_YOUR_TURN_NOW","Start your turn now!","Start your turn now!","Runde jetzt beginnen!","¡Ahora comienza tu turno!","À votre tour maintenant !","順番を開始してください!","ROZPOCZNIJ SWOJA TURE!","Начинай!"
"MSG_WORKSHOP_CHECK_TYPOS","Please re-check file name","Please re-check file name","Bitte überprüfen Sie den Dateinamen","Por favor vuelve a comprobar el nombre del archivo","Revérifiez le nom du fichier SVP","ファイル名をもう一度確認してください","Sprawdź literówki.","Пожалуйста перепроверьте название"
"MSG_WORKSHOP_CREATE_NEW_ISLAND","CREATE NEW ISLAND","CREATE NEW ISLAND","NEUE INSEL IN DER MITTE ERSTELLEN","CREAR NUEVA ISLA","CRÉER UNE NOUVELLE ÎLE AU CENTRE","新しい島を作成","TWORZY NOWA WYSPĘ NA ŚRODKU MAPY","НОВЫЙ ОСТРОВ"
"MSG_WORKSHOP_FILE_ERROR_NAME","Map name may only contain alphanumeric characters and an underscore sign.","Map name may only contain alphanumeric characters and an underscore sign.","Kartenname darf nur alphanumerische Zeichen und Unterstrich enthalten.","El nombre del mapa solo puede contener caracteres alfanuméricos y el signo de guión bajo.","Les noms de carte ne doivent contenir que des symboles alphanumériques et des tirets bas.","マップ名には、英数字とアンダースコアのみを使用できます。","Nazwa mapy może zawierać jedynie symbole alfanumeryczne.","Имя карты поддерживает лишь английские буквы и простые символы."
"MSG_WORKSHOP_FILE_NOT_FOUND","Map with specified name does not exists.","Map with specified name does not exists.","Karte mit angegeben Namen existiert nicht.","El mapa con el nombre especificado no existe.","Ce nom ne correspond à aucune carte.","指定された名前のマップは存在しません。","Mapa o podanej nazwie nie istnieje.","Такой карты не существует."
"MSG_WORKSHOP_FILL_MAP","FILL MAP WITH GRASS TILES","FILL MAP WITH GRASS TILES","FILL MAP WITH GRASS TILES","LLENA EL MAPA CON AZULEJOS DE HIERBA","REMPLIR DE TUILES D'HERBE","マップを芝生タイルで埋める","WYPEŁNIJ MAPĘ TERENEM TRAWY","ЗАПОЛНИТЬ КАРТУ ТАЙЛАМИ ТРАВЫ"
"MSG_WORKSHOP_LOSE_MAP_DATA","YOU WILL LOSE MAP DATA!","YOU WILL LOSE MAP DATA!","Sie verlieren Karten-Daten","¡PERDERÁS LOS DATOS DEL MAPA!","VOUS PERDREZ LA CARTE CRÉÉE !","マップデータがなくなります!","STRACISZ CAŁĄ MAPĘ!","ТЫ ПОТЕРЯЕШЬ ПРОГРЕСС!"
"MSG_WORKSHOP_USE_UNIQUE_NAME","USE UNIQUE NAME","USE UNIQUE NAME","BITTE EINDEUTIGEN NAMEN BENUTZEN","UTILIZA UN NOMBRE ÚNICO","UTILISEZ UN NOM UNIQUE","固有の名前を使用してください","UŻYJ UNIKALNEJ NAZWY","НАЗОВИ ОРИГИНАЛЬНО"
"TIP_1","Each unit can attack only once a turn","每个单位每回合只能攻击一次","Jede Einheit kann nur einmal pro Runde angreifen","Cada unidad puede atacar solo una vez por turno","Chaque unité ne peut attaquer qu'une seule fois par tour","各部隊は1回の順番で1回しか攻撃できません","Każda jednostka może zaatakować tylko raz na turę","Любой тип войск атакует лишь раз за ход"
"TIP_10","Mixing unit types in squads gives you a strategic advantage","在班组中混合单元的类型会给你带来战略优势","Verschiedene Einheiten zu mischen bringt strategische Vorteile","Mezclar tipos de unidades en los escuadrones te darán una ventaja estratégica","Mélanger différents types d'unités dans un bataillon vous donne un avantage stratégique","分隊で部隊の種類を混合させることは、戦略的な優位をもたらします","Oddziały o zróżnicowanym składzie mają większe szanse na sukces","Смешивание разных типов войск дает боевое приемущество"
"TIP_11","You cannot deploy a unit when the spawning point is blocked and neither can the enemy - block enemy factories with your units","阻塞出兵口将不能部署单位，敌人也不能 - 用你的单位封锁敌人的工厂","Einheiten können nicht gebaut werden, wenn der Startpunkt blockiert ist. Gleiches gilt für den Feind: blockiere dessen Fabriken.","No puedes desplegar una unidad cuando el punto de salida está bloqueado y el enemigo tampoco puede bloquear fábricas enemicas con sus unidades","Vous ne pouvez pas déployer d'unité quand le point d'apparition est bloqué par un ennemi et il en va de même pour ce dernier - bloquez la production d'unités ennemies avec vos soldats !","スポーンポイントがブロックされているときには部隊を配備することはできません。敵もできません - あなたの部隊で敵の工場をブロックしてください","Nie można kupować nowych oddziałów, jeżeli pole wyjścia z budynku jest zajęte - możesz tego użyć, aby uzyskać przewagę","Ты не можешь поставить юнита, если зона вывода занята; пользуйся этим - блокируй вражеские фабрики"
